drug,state,total_claims,total_patients,total_days_supply,total_drug_cost,provider_count
Carbamazepine,GU,61,0.0,2370,1433.55,3
Carbamazepine,HI,937,16.0,42035,83796.49,39
Carbamazepine,IA,11035,136.0,389409,856357.71,425
Carbamazepine,ID,4318,91.0,160802,428053.4,172
Carbamazepine,IL,39550,1227.0,1491028,3359363.9,1154
Carbamazepine,IN,18179,429.0,672893,1495694.33,599
Carbamazepine,KS,10196,251.0,368710,804388.86,372
Carbamazepine,KY,15203,345.0,568501,1053695.11,590
Carbamazepine,LA,14441,424.0,525087,1073940.11,511
Carbamazepine,MA,24476,631.0,908055,2205904.42,740
Carbamazepine,MD,11439,196.0,430325,969913.29,470
Carbamazepine,ME,4677,116.0,194637,465884.39,183
Carbamazepine,MI,31051,848.0,1219739,2833147.22,1126
Carbamazepine,MN,19578,509.0,731759,1773378.36,647
Carbamazepine,MO,29319,1104.0,1018847,2078986.77,831
Carbamazepine,MS,10117,422.0,366666,688978.29,330
Carbamazepine,MT,4078,64.0,123363,287263.29,133
Carbamazepine,NC,26884,819.0,1042018,2396174.73,978
Carbamazepine,ND,3638,49.0,122170,363233.63,116
Carbamazepine,NE,6307,39.0,215040,505449.84,270
Carbamazepine,NH,4562,111.0,186537,497473.37,145
Carbamazepine,NJ,22265,554.0,832020,2110927.19,720
Carbamazepine,NM,4440,266.0,193101,422624.75,149
Carbamazepine,NV,3765,242.0,159752,273495.1,143
Carbamazepine,NY,54905,1998.0,1988351,5555011.21,1734
Carbamazepine,OH,45845,1221.0,1589841,3889514.68,1386
Carbamazepine,OK,8306,188.0,314107,567907.77,342
Carbamazepine,OR,10076,254.0,401415,874530.63,399
Carbamazepine,PA,54184,1011.0,1910171,4273473.18,1763
Carbamazepine,PR,12078,437.0,410058,948937.49,458
Carbamazepine,RI,5099,175.0,192768,458534.37,147
Carbamazepine,SC,12280,468.0,465461,978873.12,363
Carbamazepine,SD,4685,59.0,160791,343797.78,159
Carbamazepine,TN,20997,585.0,735010,1418129.77,705
Carbamazepine,TX,51580,2155.0,2070558,4251690.68,1708
Carbamazepine,UT,5417,22.0,183221,440741.91,225
Carbamazepine,VA,16743,532.0,671475,1545759.15,625
Carbamazepine,VI,57,0.0,1740,3124.26,3
Carbamazepine,VT,1829,12.0,65573,149832.69,76
Carbamazepine,WA,14017,413.0,542309,1316095.99,540
Carbamazepine,WI,21754,750.0,862039,2079283.19,716
Carbamazepine,WV,8778,460.0,301518,524253.66,236
Carbamazepine,WY,1184,25.0,43503,105355.11,47
Carbamazepine,XX,12,0.0,765,662.04,1
Carbamazepine,ZZ,25,0.0,750,758.97,2
Lacosamide,AK,496,14.0,17298,100221.69,17
Lacosamide,AL,18403,2324.0,651173,3380023.92,299
Lacosamide,AP,11,0.0,330,765.47,1
Lacosamide,AR,5827,389.0,184618,806110.39,174
Lacosamide,AZ,13912,1761.0,546885,2718915.6,289
Lacosamide,CA,56025,4561.0,2064272,10957422.83,1417
Lacosamide,CO,10449,1235.0,434254,1555499.58,285
Lacosamide,CT,8088,737.0,301001,1496144.05,208
Lacosamide,DC,1112,117.0,45806,208750.33,36
Lacosamide,DE,2661,210.0,84067,491302.05,64
Lacosamide,FL,43996,4436.0,1565477,8446236.38,1128
Lacosamide,GA,21514,2258.0,760549,3309532.74,441
Lacosamide,HI,2592,350.0,114795,635193.66,51
Lacosamide,IA,7309,515.0,227449,1282421.52,160
Lacosamide,ID,4573,499.0,157118,1292983.72,69
Lacosamide,IL,26465,2669.0,933804,4724519.25,633
Lacosamide,IN,23725,2199.0,795786,4610994.55,497
Lacosamide,KS,6731,706.0,239033,1344617.36,145
Lacosamide,KY,14013,1412.0,464059,2847187.68,279
Lacosamide,LA,13353,1181.0,446974,1691086.33,317
Lacosamide,MA,15332,1318.0,541677,2547276.34,408
Lacosamide,MD,14074,946.0,476245,2562138.24,396
Lacosamide,ME,2607,369.0,114380,608448.54,56
Lacosamide,MI,38411,3947.0,1360493,5961957.94,752
Lacosamide,MN,14015,1339.0,504582,3002152.2,281
Lacosamide,MO,18748,1734.0,619443,2779317.91,362
Lacosamide,MS,8267,602.0,274992,1178260.17,225
Lacosamide,MT,2034,53.0,60058,336867.61,59
Lacosamide,NC,27482,2919.0,996302,4670428.6,634
Lacosamide,ND,2019,167.0,65049,344670.08,42
Lacosamide,NE,5017,438.0,170284,1100010.92,123
Lacosamide,NH,2477,217.0,94875,429607.57,64
Lacosamide,NJ,20719,1663.0,706382,3736765.61,557
Lacosamide,NM,2491,230.0,89969,509963.3,62
Lacosamide,NV,5445,584.0,182096,764589.91,126
Lacosamide,NY,53144,5063.0,1678870,10084307.48,1201
Lacosamide,OH,38896,3615.0,1237601,6702550.59,856
Lacosamide,OK,10388,1063.0,349199,1306012.08,202
Lacosamide,OR,9497,1179.0,357690,1580605.79,186
Lacosamide,PA,37990,3664.0,1277444,6585506.67,930
Lacosamide,PR,3679,241.0,116795,1230708.54,92
Lacosamide,RI,2906,210.0,92104,464446.58999999997,68
Lacosamide,SC,13191,1389.0,457810,2086287.69,283
Lacosamide,SD,2498,170.0,77865,426952.62,68
Lacosamide,TN,20578,1932.0,650944,3391838.49,413
Lacosamide,TX,45490,4921.0,1703701,8354399.63,975
Lacosamide,UT,5007,449.0,172012,736260.68,123
Lacosamide,VA,16179,1642.0,594719,2878000.26,401
Lacosamide,VI,18,0.0,540,782.37,1
Lacosamide,VT,873,45.0,33082,97415.61,22
Lacosamide,WA,13490,1534.0,508174,1774145.56,281
Lacosamide,WI,12149,1102.0,423012,2069043.37,264
Lacosamide,WV,5400,462.0,175121,893540.58,119
Lacosamide,WY,655,38.0,22103,167980.94,24
Lamotrigine,AE,137,26.0,7927,2309.2,5
Lamotrigine,AK,6503,378.0,237470,305449.3,149
Lamotrigine,AL,51798,7319.0,2371186,2072077.3699999999,960
Lamotrigine,AP,12,0.0,540,204.85,1
Lamotrigine,AR,40617,4331.0,1633901,794120.62,900
Lamotrigine,AZ,80189,10973.0,3839377,2205571.41,1492
Lamotrigine,CA,228848,24949.0,11462454,8688288.69,5674
Lamotrigine,CO,62225,6645.0,3111151,2711608.84,1485
Lamotrigine,CT,55130,5446.0,2512401,2381014.06,1100
Lamotrigine,DC,4465,358.0,239812,129559.16,146
Lamotrigine,DE,13212,1437.0,649802,475188.64,274
Lamotrigine,FL,224569,31410.0,10913479,8813824.8,4625
Lamotrigine,GA,93464,11212.0,4027984,2341392.37,1791
Lamotrigine,GU,104,16.0,6284,2970.56,3
Lamotrigine,HI,5569,490.0,296472,211027.82,162
Lamotrigine,IA,52411,4883.0,2029877,1471890.72,920
Lamotrigine,ID,28088,2580.0,1202878,1572465.18,569
Lamotrigine,IL,129946,13898.0,5738670,4351283.9,2548
Lamotrigine,IN,91810,10010.0,4040601,3060194.67,1752
Lamotrigine,KS,43518,4154.0,1740982,1622267.98,821
Lamotrigine,KY,69948,7873.0,3075102,1933851.77,1547
Lamotrigine,LA,41495,4054.0,1800289,1392198.68,966
Lamotrigine,MA,143896,16236.0,6535200,6207259.8,2719
Lamotrigine,MD,53172,4946.0,2450768,1499663.2,1371
Lamotrigine,ME,29763,3621.0,1538693,1444571.14,657
Lamotrigine,MI,133069,14321.0,5930270,5044812.66,2768
Lamotrigine,MN,88387,8639.0,3694829,3695259.87,1594
Lamotrigine,MO,103928,11204.0,4098315,2158229.33,1744
Lamotrigine,MS,24708,2558.0,1004517,707612.89,590
Lamotrigine,MT,21185,1710.0,837905,626843.93,414
Lamotrigine,NC,141334,18272.0,6712720,6407070.71,2885
Lamotrigine,ND,11738,911.0,426930,444399.18,241
Lamotrigine,NE,36124,3541.0,1435730,1966509.09,688
Lamotrigine,NH,27941,3235.0,1290934,1194536.53,527
Lamotrigine,NJ,85538,8488.0,3765439,3956708.95,1850
Lamotrigine,NM,20250,2572.0,994265,512096.06,444
Lamotrigine,NV,20197,3040.0,996906,443485.58,473
Lamotrigine,NY,240665,21524.0,9968340,13020439.01,5115
Lamotrigine,OH,180206,19998.0,7521654,7495204.82,3303
Lamotrigine,OK,45964,5170.0,1923627,1150712.86,916
Lamotrigine,OR,64913,6307.0,3056505,2381802.41,1528
Lamotrigine,PA,212845,22299.0,8753989,6665108.59,3937
Lamotrigine,PR,47466,4916.0,1582838,1467342.84,684
Lamotrigine,RI,21675,2513.0,1004819,784194.28,377
Lamotrigine,SC,46714,5819.0,2324199,1191836.85,1100
Lamotrigine,SD,14524,1227.0,547052,510962.41,258
Lamotrigine,TN,100325,12368.0,4404478,4493515.41,1974
Lamotrigine,TX,172230,20933.0,7982116,5323801.92,4008
Lamotrigine,UT,31184,3032.0,1516952,1006173.52,797
Lamotrigine,VA,70186,7613.0,3373929,2710951.09,1696
Lamotrigine,VI,382,45.0,19129,5230.22,6
Lamotrigine,VT,10834,909.0,487521,383842.31,261
Lamotrigine,WA,97302,9615.0,4562423,3611018.3,2286
Lamotrigine,WI,103962,12087.0,4674058,5041840.43,1765
Lamotrigine,WV,33773,4194.0,1428623,741311.11,614
Lamotrigine,WY,5996,376.0,255162,185102.18,165
Lamotrigine,XX,145,35.0,9181,2355.7,3
Lamotrigine,ZZ,11,0.0,330,73.75,1
Levetiracetam,AK,5598,273.0,187380,184793.07,160
Levetiracetam,AL,80927,11644.0,3481283,3046742.7,1335
Levetiracetam,AR,47351,4970.0,1895502,1595737.65,1030
Levetiracetam,AZ,58844,9981.0,3038493,2793273.92,1241
Levetiracetam,CA,316216,44333.0,14580052,15297399.98,6597
Levetiracetam,CO,36819,4832.0,1831961,2033065.4,948
Levetiracetam,CT,49767,6354.0,2096836,2243380.99,872
Levetiracetam,DC,7000,828.0,325211,283725.14,163
Levetiracetam,DE,12833,1866.0,595220,749687.59,200
Levetiracetam,FL,251304,39362.0,12060486,11462960.29,5515
Levetiracetam,GA,156963,18611.0,5717801,5311784.79,2306
Levetiracetam,GU,61,0.0,2450,1603.15,4
Levetiracetam,HI,8310,1144.0,444101,557765.6900000001,176
Levetiracetam,IA,44635,4330.0,1805376,2217618.28,1003
Levetiracetam,ID,15828,1774.0,691479,1126057.96,334
Levetiracetam,IL,166604,21328.0,6931105,6882087.81,2807
Levetiracetam,IN,105613,13402.0,4325430,4449797.58,1637
Levetiracetam,KS,42816,4557.0,1710924,2106264.15,826
Levetiracetam,KY,78837,9976.0,3300109,3403193.45,1535
Levetiracetam,LA,70839,8503.0,2954336,2499284.21,1434
Levetiracetam,MA,96439,12179.0,4068627,5353651.97,1813
Levetiracetam,MD,62918,8095.0,2782209,2853331.7,1348
Levetiracetam,ME,13934,1699.0,697976,1033308.22,349
Levetiracetam,MI,136741,18002.0,6010855,6929737.17,2755
Levetiracetam,MN,74372,8700.0,3349447,4186290.69,1563
Levetiracetam,MO,102615,12533.0,4117794,3583261.67,1805
Levetiracetam,MS,55913,6551.0,2092995,1586329.2,928
Levetiracetam,MT,13537,1206.0,520370,489524.62,307
Levetiracetam,NC,133322,18039.0,5834597,6393079.65,2566
Levetiracetam,ND,12475,1243.0,470950,693539.21,241
Levetiracetam,NE,27761,2712.0,1116658,1842465.18,628
Levetiracetam,NH,15779,2061.0,731052,863935.4400000001,338
Levetiracetam,NJ,104814,14445.0,4524444,5205663.53,1954
Levetiracetam,NM,16058,2078.0,784033,686029.15,414
Levetiracetam,NV,21667,3618.0,1099994,759462.13,522
Levetiracetam,NY,296363,39133.0,11499064,14593103.77,5329
Levetiracetam,OH,185855,25385.0,7499424,8846753.34,3021
Levetiracetam,OK,48694,5953.0,2096663,1725400.54,1000
Levetiracetam,OR,37456,4586.0,1793084,1993279.03,956
Levetiracetam,PA,222650,25547.0,8710694,9178850.51,4105
Levetiracetam,PR,57686,6027.0,2241538,3540895.3,1249
Levetiracetam,RI,17096,2433.0,778584,941849.87,289
Levetiracetam,SC,72632,9833.0,3208417,3090109.1,1439
Levetiracetam,SD,14321,1464.0,573663,604750.57,295
Levetiracetam,TN,113596,13986.0,4602320,4687606.28,2053
Levetiracetam,TX,264401,40845.0,11987735,11843670.08,4896
Levetiracetam,UT,16442,1922.0,739919,728315.96,404
Levetiracetam,VA,82532,11366.0,3907625,4036185.18,1811
Levetiracetam,VI,477,36.0,18265,13216.81,16
Levetiracetam,VT,5974,644.0,254778,278992.44,164
Levetiracetam,WA,60079,8051.0,2728665,2771103.71,1304
Levetiracetam,WI,79087,10064.0,3606778,4621523.0,1655
Levetiracetam,WV,31915,3926.0,1233027,1171632.51,529
Levetiracetam,WY,4494,365.0,183348,286715.94,131
Levetiracetam,XX,35,0.0,2340,1220.71,2
Levetiracetam,ZZ,73,11.0,1948,1985.5900000000001,2
Oxcarbazepine,AE,44,0.0,1670,1977.8700000000001,2
Oxcarbazepine,AK,1185,0.0,32130,51653.71,44
Oxcarbazepine,AL,27875,3117.0,989449,1685376.49,552
Oxcarbazepine,AR,11618,845.0,407334,660063.97,391
Oxcarbazepine,AZ,16628,1480.0,675325,1202624.21,548
Oxcarbazepine,CA,48799,2735.0,2006413,3713726.51,1818
Oxcarbazepine,CO,8713,434.0,377002,887957.94,348
Oxcarbazepine,CT,15689,885.0,583886,1337819.0,436
Oxcarbazepine,DC,1687,68.0,73027,149082.71,72
Oxcarbazepine,DE,2464,89.0,91441,319516.62,86
Oxcarbazepine,FL,64023,6533.0,2619552,4349044.08,1968
Oxcarbazepine,GA,35532,3078.0,1196016,1857716.89,875
Oxcarbazepine,GU,12,0.0,660,743.41,1
Oxcarbazepine,HI,1288,81.0,63313,242176.52,47
Oxcarbazepine,IA,9667,341.0,347619,714338.24,347
Oxcarbazepine,ID,3272,140.0,130040,469521.95,128
Oxcarbazepine,IL,39949,3024.0,1595242,2463441.81,1143
Oxcarbazepine,IN,26963,1959.0,1042817,2405141.49,722
Oxcarbazepine,KS,10945,537.0,371912,897747.87,305
Oxcarbazepine,KY,20111,1546.0,778003,1666755.75,646
Oxcarbazepine,LA,30500,2811.0,1105909,1809501.84,819
Oxcarbazepine,MA,34761,2123.0,1426358,2143003.7,1048
Oxcarbazepine,MD,15130,512.0,572977,965269.78,567
Oxcarbazepine,ME,3611,211.0,162902,467435.75,136
Oxcarbazepine,MI,41647,2961.0,1587618,3074391.23,1142
Oxcarbazepine,MN,13633,634.0,528268,1015480.05,478
Oxcarbazepine,MO,28103,1564.0,950555,1627606.39,757
Oxcarbazepine,MS,13602,1169.0,480019,620350.48,360
Oxcarbazepine,MT,3656,171.0,122374,225101.99,112
Oxcarbazepine,NC,26182,1927.0,1081290,2313238.38,903
Oxcarbazepine,ND,3203,100.0,103282,229696.61,96
Oxcarbazepine,NE,5750,218.0,199437,396064.1,194
Oxcarbazepine,NH,4223,249.0,173707,263307.65,140
Oxcarbazepine,NJ,31409,1837.0,1250031,2564216.91,967
Oxcarbazepine,NM,5310,505.0,222801,309082.12,167
Oxcarbazepine,NV,5501,541.0,220980,255856.19,193
Oxcarbazepine,NY,57572,4029.0,2165778,4835121.79,1780
Oxcarbazepine,OH,55434,4101.0,2004369,4124044.02,1495
Oxcarbazepine,OK,9514,724.0,387751,775905.03,293
Oxcarbazepine,OR,7113,432.0,303060,690820.16,279
Oxcarbazepine,PA,43286,1991.0,1544785,2704336.35,1420
Oxcarbazepine,PR,7088,508.0,254663,809476.38,205
Oxcarbazepine,RI,4383,235.0,186781,286976.91000000003,143
Oxcarbazepine,SC,12240,1012.0,507555,880942.34,381
Oxcarbazepine,SD,2205,22.0,72428,132684.42,89
Oxcarbazepine,TN,34816,3923.0,1342142,2417349.74,876
Oxcarbazepine,TX,81130,8091.0,3153154,6097657.8,2217
Oxcarbazepine,UT,3989,132.0,155789,340350.58,159
Oxcarbazepine,VA,21453,1548.0,877616,1624939.1199999999,722
Oxcarbazepine,VI,29,0.0,843,968.25,2
Oxcarbazepine,VT,925,12.0,32975,108723.26,47
Oxcarbazepine,WA,13057,538.0,500258,1101878.14,493
Oxcarbazepine,WI,17486,1150.0,707252,1957526.74,534
Oxcarbazepine,WV,9460,728.0,350723,478821.02,258
Oxcarbazepine,WY,1231,28.0,44059,66465.15,47
Oxcarbazepine,XX,48,22.0,2087,2300.91,1
Oxcarbazepine,ZZ,12,0.0,360,120.43,1
Perampanel,AL,1229,33.0,38126,1514554.23,46
Perampanel,AR,514,16.0,14931,598403.39,15
Perampanel,AZ,741,0.0,21092,917205.51,28
Perampanel,CA,3274,49.0,109621,4501958.46,136
Perampanel,CO,479,0.0,14448,565634.46,26
Perampanel,CT,378,0.0,10676,467342.26,17
Perampanel,DC,23,0.0,690,29634.88,1
Perampanel,DE,154,0.0,4908,202395.45,8
Perampanel,FL,3819,176.0,118444,4969890.58,148
Perampanel,GA,1935,53.0,59105,2316390.43,66
Perampanel,HI,114,0.0,3660,148031.12,5
Perampanel,IA,480,0.0,11531,478494.29000000004,21
Perampanel,ID,574,40.0,16754,713423.12,10
Perampanel,IL,1212,30.0,37089,1635111.89,50
Perampanel,IN,1398,33.0,43383,1743010.67,50
Perampanel,KS,277,0.0,8498,345557.1,12
Perampanel,KY,778,26.0,23697,937031.47,28
Perampanel,LA,1341,41.0,38201,1608019.38,40
Perampanel,MA,827,0.0,23909,1046633.0499999999,32
Perampanel,MD,610,0.0,19400,781927.95,32
Perampanel,ME,136,0.0,4609,182031.12,6
Perampanel,MI,2000,45.0,55808,2254140.74,81
Perampanel,MN,1245,31.0,39442,1698438.04,41
Perampanel,MO,834,0.0,24889,1095932.92,37
Perampanel,MS,804,0.0,23283,1012798.91,34
Perampanel,MT,11,0.0,330,12570.21,1
Perampanel,NC,1874,79.0,56514,2361946.03,66
Perampanel,ND,12,0.0,360,15042.48,1
Perampanel,NE,442,19.0,14204,562832.59,14
Perampanel,NH,91,0.0,2808,128938.08,5
Perampanel,NJ,1262,37.0,37964,1510562.45,47
Perampanel,NM,36,0.0,1080,44307.41,2
Perampanel,NV,290,0.0,8202,348571.15,15
Perampanel,NY,3585,206.0,107707,4593886.18,115
Perampanel,OH,2689,183.0,78381,3203951.32,93
Perampanel,OK,479,0.0,13547,541919.76,20
Perampanel,OR,298,14.0,9261,386949.22000000003,15
Perampanel,PA,1786,59.0,53381,2258878.72,83
Perampanel,PR,57,0.0,1920,131525.38,3
Perampanel,RI,322,0.0,9506,385798.22,9
Perampanel,SC,1100,12.0,29391,1210621.64,39
Perampanel,SD,86,0.0,1737,78116.84,5
Perampanel,TN,1992,76.0,57325,2290814.97,70
Perampanel,TX,3188,104.0,99431,4046779.71,119
Perampanel,UT,162,0.0,4765,179339.34,8
Perampanel,VA,562,0.0,17057,694314.47,30
Perampanel,VT,79,0.0,2725,108217.16,1
Perampanel,WA,633,23.0,20130,800350.61,24
Perampanel,WI,635,27.0,18804,881821.24,24
Perampanel,WV,220,0.0,6522,272222.27,10
Topiramate,AE,81,31.0,5612,1185.2700000000002,2
Topiramate,AK,2830,83.0,104965,66210.65,117
Topiramate,AL,60788,9004.0,3159225,1401346.71,1504
Topiramate,AP,42,0.0,1813,253.2,3
Topiramate,AR,44793,5075.0,2019934,582470.52,1223
Topiramate,AZ,41392,6838.0,2358988,1131351.61,1238
Topiramate,CA,152698,17210.0,7535502,3877160.46,5161
Topiramate,CO,27577,2535.0,1444039,983408.39,1071
Topiramate,CT,30491,3226.0,1450538,958427.8200000001,866
Topiramate,DC,2025,142.0,102611,57061.95,90
Topiramate,DE,8209,1120.0,456954,283624.9,248
Topiramate,FL,170258,26270.0,9559756,3860621.78,5152
Topiramate,GA,83752,10873.0,4075870,1820882.7,2236
Topiramate,GU,188,44.0,11370,1794.8000000000002,3
Topiramate,HI,3550,336.0,190389,172824.83,125
Topiramate,IA,41573,3760.0,1884431,896687.2000000001,1182
Topiramate,ID,13992,1019.0,673102,598820.41,481
Topiramate,IL,89408,10324.0,4443098,2046346.71,2468
Topiramate,IN,83930,10301.0,4230804,2312367.13,2222
Topiramate,KS,37417,3712.0,1641856,862687.91,1045
Topiramate,KY,67491,7311.0,3307403,1777353.74,1924
Topiramate,LA,44586,5393.0,2145705,916727.07,1270
Topiramate,MA,69515,8261.0,3330813,2273670.31,1982
Topiramate,MD,29553,2821.0,1425703,683706.49,1083
Topiramate,ME,11204,1122.0,632437,599564.31,402
Topiramate,MI,98517,11608.0,4848474,3169754.53,2932
Topiramate,MN,49741,4513.0,2387524,1578367.78,1647
Topiramate,MO,101766,11348.0,4498373,1720788.76,2394
Topiramate,MS,31522,4285.0,1490516,568773.58,795
Topiramate,MT,8556,503.0,379292,234475.34,308
Topiramate,NC,113094,14426.0,6008369,3287471.59,3323
Topiramate,ND,8070,771.0,348642,225621.53,240
Topiramate,NE,24521,1956.0,1052609,652908.57,713
Topiramate,NH,12780,1574.0,656375,327138.10000000003,373
Topiramate,NJ,51417,5125.0,2399352,2103819.39,1530
Topiramate,NM,10636,1234.0,574486,155090.34,373
Topiramate,NV,15015,2028.0,837406,227832.2,528
Topiramate,NY,144020,14676.0,6347681,5330719.68,4161
Topiramate,OH,152074,18555.0,6959879,3960433.08,3972
Topiramate,OK,43495,4864.0,2119320,903778.18,1230
Topiramate,OR,30136,2752.0,1492936,761889.77,1074
Topiramate,PA,158687,16799.0,7187402,4367277.31,4240
Topiramate,PR,19359,2142.0,715363,647166.04,458
Topiramate,RI,12652,1353.0,617205,416328.69,325
Topiramate,SC,43096,5709.0,2366618,898143.05,1370
Topiramate,SD,11312,1201.0,483045,231097.42,298
Topiramate,TN,72965,9678.0,3763328,1482687.85,2040
Topiramate,TX,155246,21712.0,8160052,4114191.32,4677
Topiramate,UT,19749,1729.0,1002679,567267.83,680
Topiramate,VA,66350,8054.0,3536648,1367727.09,2053
Topiramate,VI,103,13.0,3643,1163.34,5
Topiramate,VT,4811,219.0,217465,92454.63,168
Topiramate,WA,44587,4041.0,2227378,1407536.8599999999,1597
Topiramate,WI,58375,6036.0,2968608,2117673.51,1766
Topiramate,WV,25717,2801.0,1271487,536494.1900000001,725
Topiramate,WY,3711,228.0,165815,60797.24,140
Topiramate,XX,35,0.0,1332,310.1,2
Topiramate,ZZ,11,0.0,450,76.87,1
Valproic Acid,AK,32,0.0,1046,1600.8400000000001,2
Valproic Acid,AL,1103,35.0,27051,34025.24,49
Valproic Acid,AR,502,46.0,14582,17665.2,28
Valproic Acid,AZ,516,0.0,17342,17988.95,37
Valproic Acid,CA,5451,17.0,158719,295242.52,314
Valproic Acid,CO,321,0.0,9458,12112.66,19
Valproic Acid,CT,478,0.0,10835,14336.949999999999,25
Valproic Acid,DC,66,0.0,1875,2510.17,5
Valproic Acid,DE,108,0.0,3140,6441.1,8
Valproic Acid,FL,3282,41.0,98115,133436.09,195
Valproic Acid,GA,1637,25.0,28484,40034.76,65
Valproic Acid,GU,11,0.0,330,290.07,1
Valproic Acid,HI,92,0.0,3288,5753.63,6
Valproic Acid,IA,477,0.0,13664,24957.29,34
Valproic Acid,ID,171,0.0,5383,11843.21,12
Valproic Acid,IL,2291,106.0,56889,111935.18,117
Valproic Acid,IN,788,0.0,18636,28824.58,42
Valproic Acid,KS,506,0.0,14141,20559.97,36
Valproic Acid,KY,638,12.0,17887,29305.61,36
Valproic Acid,LA,889,13.0,25898,31826.16,49
Valproic Acid,MA,1289,12.0,31872,51126.96,71
Valproic Acid,MD,1003,0.0,26351,48444.73,70
Valproic Acid,ME,175,0.0,4590,8351.77,11
Valproic Acid,MI,1308,0.0,32929,52739.57,77
Valproic Acid,MN,756,0.0,21774,42207.37,51
Valproic Acid,MO,1155,0.0,31321,51299.92,65
Valproic Acid,MS,536,0.0,11046,21877.329999999998,25
Valproic Acid,MT,210,0.0,3847,6259.69,11
Valproic Acid,NC,998,0.0,24604,37129.46,62
Valproic Acid,ND,161,0.0,3038,8292.89,9
Valproic Acid,NE,340,0.0,10554,16085.43,23
Valproic Acid,NH,107,0.0,2793,5140.33,8
Valproic Acid,NJ,935,0.0,27356,44338.45,61
Valproic Acid,NM,247,0.0,8449,11710.49,15
Valproic Acid,NV,242,12.0,7319,11884.66,16
Valproic Acid,NY,4221,0.0,104771,200990.69,227
Valproic Acid,OH,2310,11.0,60752,101387.56999999999,136
